DATE,NASDAQ100
2013-03-01,2795.3255000000000000
2013-04-01,2818.5631818181818182
2013-05-01,2981.1877272727272727
2013-06-01,2937.3065000000000000
2013-07-01,3033.0345454545454545
2013-08-01,3105.4654545454545455
2013-09-01,3187.5295000000000000
2013-10-01,3291.9517391304347826
2013-11-01,3399.4460000000000000
2013-12-01,3513.7609523809523810
2014-01-01,3557.8900000000000000
2014-02-01,3614.9473684210526316
2014-03-01,3661.1114285714285714
2014-04-01,3554.4495238095238095
2014-05-01,3621.1076190476190476
2014-06-01,3792.1071428571428571
2014-07-01,3926.7363636363636364
2014-08-01,3979.4023809523809524
2014-09-01,4070.2947619047619048
2014-10-01,3964.6369565217391304
2014-11-01,4221.0910526315789474
2014-12-01,4260.7700000000000000
2015-01-01,4182.6420000000000000
2015-02-01,4343.4047368421052632
2015-03-01,4389.1577272727272727
2015-04-01,4418.9061904761904762
2015-05-01,4476.3860000000000000
2015-06-01,4481.6827272727272727
2015-07-01,4528.3113636363636364
2015-08-01,4422.3280952380952381
2015-09-01,4261.6080952380952381
2015-10-01,4445.4890909090909091
2015-11-01,4653.2205000000000000
2015-12-01,4628.0131818181818182
2016-01-01,4259.3242105263157895
2016-02-01,4129.5655000000000000
2016-03-01,4377.1113636363636364
2016-04-01,4491.7442857142857143
2016-05-01,4379.4266666666666667
2016-06-01,4426.9781818181818182
2016-07-01,4592.5525000000000000
2016-08-01,4785.7060869565217391
2016-09-01,4813.3119047619047619
2016-10-01,4845.3123809523809524
2016-11-01,4791.7804761904761905
2016-12-01,4886.3285714285714286
2017-01-01,5056.7985000000000000
2017-02-01,5261.2263157894736842
2017-03-01,5386.2213043478260870
2017-04-01,5447.8568421052631579
2017-05-01,5687.3595454545454545
2017-06-01,5766.9631818181818182
2017-07-01,5816.1130000000000000
2017-08-01,5874.4169565217391304
2017-09-01,5954.9345000000000000
2017-10-01,6088.4900000000000000
2017-11-01,6328.1928571428571429
2017-12-01,6397.9725000000000000
2018-01-01,6790.4666666666666667
2018-02-01,6704.4252631578947368
2018-03-01,6844.8866666666666667
2018-04-01,6606.8954285714285714
2018-05-01,6875.9325000000000000
2018-06-01,7159.6022857142857143
2018-07-01,7296.6251428571428571
2018-08-01,7453.0903913043478261
2018-09-01,7527.9799473684210526
2018-10-01,7171.5804782608695652
2018-11-01,6855.0294285714285714
2018-12-01,6497.9801578947368421
2019-01-01,6619.8203809523809524
2019-02-01,7021.0508421052631579
2019-03-01,7254.1759047619047619
2019-04-01,7661.9044545454545455
2019-05-01,7480.9842272727272727
2019-06-01,7505.1486500000000000
2019-07-01,7897.8300000000000000
2019-08-01,7619.7545000000000000
2019-09-01,7813.9585500000000000
2019-10-01,7859.6998260869565217
2019-11-01,8284.3570500000000000
2019-12-01,8527.3615714285714286
2020-01-01,9031.1512380952380952
2020-02-01,9297.4617894736842105
2020-03-01,7835.4431363636363636
2020-04-01,8436.9985238095238095
2020-05-01,9208.0121000000000000
2020-06-01,9898.7108181818181818
2020-07-01,10658.308681818182
2020-08-01,11406.495333333333
2020-09-01,11330.842476190476
2020-10-01,11604.979136363636
2020-11-01,11893.281350000000
2020-12-01,12622.082727272727
2021-01-01,13048.074210526316
2021-02-01,13473.780000000000
2021-03-01,12900.192173913043
2021-04-01,13832.341428571429
2021-05-01,13466.803500000000
2021-06-01,14064.488181818182
2021-07-01,14849.662857142857
2021-08-01,15173.002727272727
2021-09-01,15315.131428571429
2021-10-01,15143.725238095238
2021-11-01,16237.205238095238
2021-12-01,16135.422272727273
2022-01-01,15207.219000000000
2022-02-01,14428.712105263158
2022-03-01,14151.309565217391
2022-04-01,13964.717500000000
2022-05-01,12375.008571428571
2022-06-01,11918.650000000000
2022-07-01,12140.191500000000
2022-08-01,13090.348260869565
2022-09-01,11841.001428571429
2022-10-01,11212.392857142857
2022-11-01,11458.061904761905
2022-12-01,11365.167142857143
2023-01-01,11496.264500000000
2023-02-01,12372.203684210526
